,term,tfidf,counts,month_yr,term_positive,tfidf_positive,counts_positive,term_neutral,tfidf_neutral,counts_neutral,term_negative,tfidf_negative,counts_negative
0,upwarp caused,0.04192291035080134,484,9-2019,presto card,0.031932247039283365,78,upwarp caused,0.059273182957393936,473,presto card,0.03890460563200339,52
1,presto card,0.03259072895202026,398,9-2019,wi fi,0.015118327901107311,63,presto card,0.032303666725063955,268,union station,0.01613791230065039,40
2,regular service,0.008978865334564321,185,9-2019,good morning,0.013789267823301756,33,regular service,0.012284208558690102,183,fare evasion,0.01518602885345482,21
3,service resumed,0.008590265193850075,180,9-2019,free wi fi,0.011500593238415818,51,service resumed,0.01183609466797162,179,shuttle buses,0.014440428249853867,20
4,union station,0.008544444865392136,111,9-2019,free wi,0.011500593238415818,51,regular service resumed,0.0116124822171023,177,en raison,0.013522030083396298,50
5,regular service resumed,0.008435170217766148,178,9-2019,free wifi,0.011141135902921578,29,pas cher,0.010013100446881421,117,delayed minutes,0.012370569510390622,17
6,pas cher,0.007525260753166231,127,9-2019,pt win,0.010073916720702658,34,de la,0.008232743070208201,74,customer service,0.01147009292764197,17
7,wi fi,0.007189259419662184,88,9-2019,well done,0.008315594827926667,19,union station,0.006790111709693914,58,de minutes,0.009914721706561663,40
8,due collision,0.006817731042972319,79,9-2019,us know,0.007415386693141659,18,due collision,0.006403102578566132,65,le gobus,0.009008510340164864,29
9,de la,0.006731697532447511,93,9-2019,would like,0.006901153774681666,16,delays minutes,0.006310179474666007,73,retard de,0.008084066549863584,33
10,good morning,0.0060654616183973544,71,9-2019,join us,0.0062277580071174385,14,cher prix,0.006127405067964558,83,est en,0.007559271667477508,33
11,delays minutes,0.006055990321557075,84,9-2019,buses trains,0.006184059580804865,22,pas cher prix,0.006127405067964558,83,est en retard,0.007371714213877412,32
12,us know,0.005643839664715108,66,9-2019,good luck,0.006059183231603698,15,detour via,0.005643911039262451,58,en retard de,0.007371714213877412,32
13,oc transpo,0.005317542686095329,65,9-2019,great day,0.005822945902311416,14,ave due,0.004966805740495315,57,en retard,0.007371714213877412,32
14,en raison,0.005297232070650474,74,9-2019,rush hour,0.005361436359455758,14,due construction,0.004855749492008622,51,retard de minutes,0.007371714213877412,32
15,cher prix,0.00458830919516611,90,9-2019,gon na,0.005317583066533542,13,bloor danforth,0.0045220907460978964,50,la gare,0.006765847297694005,23
