,term_union,tfidf_union,counts_union,term_kitchener,tfidf_kitchener,counts_kitchener,term_eglinton,tfidf_eglinton,counts_eglinton,term_king,tfidf_king,counts_king,term_milton,tfidf_milton,counts_milton
0,lakeshore west,0.027297904569250613,145,union station,0.038480068834449765,63,crosstown lrt,0.09842087183672704,185,par lot,0.0641671469256845,200,ha lrt,0.045903094611628836,103
1,rush hour,0.02560992331047108,131,service line,0.03194559616500762,70,crosstownlrt construction,0.02539756810213831,52,union station,0.05863870384610133,170,union station,0.038115386921467605,90
2,lakeshore east,0.02509218571971874,122,rush hour,0.026912325448716818,45,crosstown construction,0.02213179645533683,35,kitchener line,0.02759608126475053,94,ha centre,0.03603068970027147,82
3,presto card,0.022674326758708768,116,mount pleasant,0.025782340053833747,43,light rail,0.018123000521091535,31,presto card,0.026485984477214213,73,service ha,0.026398218466088877,59
4,station terminal,0.018267038195150333,92,trains line,0.017050990036017104,27,rt crosstownto,0.016679974889966115,39,eglinton crosstown,0.015430937147158456,41,ha union,0.021854586876579624,48
5,pearson express,0.015254450926415747,72,delays line,0.016326530612244896,24,building crosstown,0.015695411516050892,28,par spots,0.014961095872189618,43,day service,0.01841975270921991,44
6,customer service,0.012315232909683671,64,town hall,0.014779283374610019,22,st clair,0.013552204638456883,38,par garage,0.014086606019764808,40,rush hour,0.016235372766975814,36
7,kitchener line,0.01075927084491675,55,rt gotransitkt,0.013680231031928102,29,victoria park,0.012045450690146267,24,rush hour,0.013594512640254202,41,lakeshore west,0.01536661357769364,37
8,york concourse,0.009911375347884633,51,pm express,0.013136609119493086,21,crosstown vehicles,0.011988420288003314,19,loo forward,0.013053521240648578,37,ha station,0.014431142691988136,31
9,la gare,0.009744716950686669,114,two way,0.012939987829377003,34,close bathurst,0.011728659982128232,19,barrie line,0.010784941133367218,29,union ha,0.014361210985943946,30
10,long branch,0.009421520985360275,64,changes line,0.012847002197896062,21,buses detour,0.01098987825174501,26,lakeshore west,0.009934031924136652,27,ha area,0.013061467884876969,41
11,niagara falls,0.009311812262049093,58,day service,0.012134838177696223,31,via torontostar,0.01086512330212028,19,bramalea station,0.009424554477660656,29,city ha,0.013041974702529723,27
12,good morning,0.009104300198685227,45,lakeshore west,0.010807000576724122,19,black creek,0.010329752370084697,21,exhibition station,0.008329293645531076,23,richmond hill,0.012843440064175921,33
13,mount pleasant,0.008433018299466338,45,way day,0.009462394332800075,29,subway service,0.010240121903149399,33,milton line,0.008289588634217334,24,lrt ha,0.012400702989894277,25
14,lost found,0.008342958990385617,45,two way day,0.00873298021549002,27,rt crosstownto rt,0.00983215920514847,27,ma stops,0.008204162588574022,23,presto card,0.011724670776698741,27
15,port credit,0.007878706814971517,48,expand service,0.007363623154548942,21,crosstownto rt,0.00983215920514847,27,par lots,0.007632318135355871,22,greater ha,0.011299034405721397,37
16,en raison,0.005732507431072343,63,way day service,0.006325260790744649,20,shuttle buses,0.008523516806414085,25,par spaces,0.007597600835831717,22,west harbour,0.009798782315900976,26
17,de minutes,0.004827268514949385,53,expand service line,0.006113052499103106,19,lawrence st clair,0.006868354073334776,24,station par,0.007450499763086899,24,greater ha area,0.00973082060924041,33
18,retard de,0.0046357263554055814,45,solutions serve better,0.005490363043669234,17,lawrence st,0.006868354073334776,24,service kitchener,0.007382441744020505,31,service line,0.00964174505901127,20
19,de la,0.003964519604291866,46,working solutions,0.005490363043669234,17,yonge university,0.0067402893622570004,20,service kitchener line,0.006435813393988505,28,niagara falls,0.008321517371290403,19
