,alpha,decay,num_topics,passes,loss
0,1,0.7053773340253457,9.0,26.0,-0.5504419909770407
1,1,0.7083722418307872,11.0,27.0,-0.5313887133682429
2,1,0.7248138845231372,7.0,22.0,-0.52976272433312
3,1,0.6588367338638901,10.0,27.0,-0.517648705211306
4,0,0.7817709855063053,15.0,30.0,-0.4980916477578229
5,1,0.9715486416406116,13.0,11.0,-0.4950633660727968
6,0,0.8452939792625103,23.0,21.0,-0.4945666788981228
7,0,0.8866520245602176,20.0,12.0,-0.4791237501522997
8,1,0.8121245602178335,22.0,13.0,-0.4764113258429797
9,0,0.5743826986942479,36.0,25.0,-0.4653285536790952
10,1,0.7254029777918358,25.0,11.0,-0.4644633818190438
11,0,0.8871915037109188,26.0,8.0,-0.4634261579439599
12,0,0.7986569010137149,34.0,10.0,-0.4568481102369886
13,1,0.6875325080867111,2.0,30.0,-0.4491676534677444
14,0,0.6833510767538632,4.0,17.0,-0.4481952735701158
15,1,0.5956503485614888,49.0,21.0,-0.4449090044347663
16,1,0.7529547172806967,32.0,8.0,-0.4435189636296847
17,0,0.7696707801153362,32.0,6.0,-0.44094265855728615
18,0,0.8211825057894273,39.0,26.0,-0.4376737807344167
19,1,0.555746879576307,35.0,30.0,-0.4371286999426492
20,1,0.5005806398076769,39.0,21.0,-0.43712589970946863
21,1,0.6364457103814745,43.0,4.0,-0.4291410243605659
22,1,0.90930868286458,40.0,14.0,-0.4234999649747969
23,0,0.8905748881188825,50.0,12.0,-0.4143233116422368
24,0,0.6153821149165023,48.0,3.0,-0.4113687553030278
